# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	19937
#@/user_id	79fb09ba-e482-4a0b-8f97-bc33c2a34fd8
bu fen 	部分	c=2 d=3.22583e-14 t=19937
bu fu he 	不符合	c=1 d=1 t=15571
bu fu ze 	不負責	c=1 d=1 t=12636
bu gai 	不該	c=1 d=9.71437e-13 t=19937
bu gan 	不幹	c=1 d=1 t=13520
bu gao 	不高	c=1 d=0.00477195 t=19937
bu gei 	不給	c=1 d=1 t=10720
bu gei ni 	不給你	c=1 d=1 t=12053
bu gou 	不夠	c=4 d=5.14449e-05 t=19937
bu gou duo 	不夠多	c=1 d=3.4153e-09 t=19937
bu guan 	不管	c=4 d=1.03314e-07 t=19937
bu guan le 	不管了	c=1 d=1.613e-07 t=19937
bu gui 	不貴	c=1 d=1 t=12474
bu guo 	不過	c=5 d=0.00529289 t=19937
bu hai you 	不還有	c=1 d=0.0200405 t=19937
bu hao 	不好	c=0 d=0.1 t=9941
bu hao yong 	不好用	c=2 d=1.07615 t=13890
bu he shi 	不合適	c=1 d=4.78675e-10 t=19937
bu huan 	不換	c=6 d=4.71697 t=9548
bu huang 	不慌	c=2 d=0.00451658 t=19937
bu hui 	不會	c=16 d=0.0198411 t=19937
bu hui lei 	不會累	c=1 d=1 t=13076
bu hui ni 	不會膩	c=1 d=2.72499e-20 t=19937
bu hui ni de 	不會膩的	c=1 d=2.50103e-20 t=19937
bu huo 	不火	c=1 d=0.0349094 t=19937
bu huo 	補貨	c=1 d=1 t=14282
bu ji 	不急	c=2 d=1.98511 t=17629
bu ji 	不給	c=0 d=4.33344e-17 t=19937
bu ji de 	不記得	c=2 d=0.000116806 t=19937
bu jiao 	不叫	c=0 d=0.1 t=9365
bu jiao shi 	不叫事	c=1 d=1 t=9366
bu jie meng 	不結盟	c=2 d=1.97531 t=13604
bu jie yi 	不介意	c=2 d=4.30889e-08 t=19937
bu jiu 	不久	c=1 d=1 t=17714
bu jiu shi 	不就是	c=2 d=0.394554 t=19937
bu kai 	不開	c=1 d=1 t=13813
bu ke 	不可	c=0 d=5.38586e-16 t=19937
bu ke yong 	不可用	c=1 d=5.41285e-15 t=19937
bu lai 	不來	c=0 d=0.1 t=18716
bu le 	不了	c=2 d=0.000884932 t=19937
bu leng 	不冷	c=1 d=1 t=15679
bu liao jie 	不瞭解	c=0 d=0.1 t=11325
bu lu ke 	布魯克	c=1 d=1.22244e-10 t=19937
bu mai 	不買	c=3 d=0.00672486 t=19937
bu mai le 	不買了	c=1 d=1 t=13445
bu man yi 	不滿意	c=1 d=1 t=17054
bu mang 	不忙	c=1 d=1 t=11556
bu neng 	不能	c=16 d=0.077761 t=19937
bu pa 	不怕	c=1 d=9.71272e-12 t=19937
bu pa ni kan 	不怕你看	c=1 d=9.7614e-11 t=19937
bu pi pei 	不匹配	c=1 d=1.85697e-17 t=19937
bu qing 	不清	c=1 d=6.0246e-10 t=19937
bu qing chu 	不清楚	c=6 d=0.0130511 t=19937
bu qu 	不去	c=2 d=0.00778911 t=19937
bu quan 	補全	c=1 d=1 t=16983
bu que ding 	不確定	c=1 d=1 t=12259
bu rang 	不讓	c=3 d=0.657047 t=19937
bu rang wo 	不讓我	c=1 d=2.21746e-16 t=19937
bu rong yi 	不容易	c=1 d=1 t=17282
bu ru 	不如	c=2 d=1 t=16864
bu shang 	不上	c=2 d=6.14595e-09 t=19937
